HISTOGRAM: ../bin/data/BrionFH_salida.xyz.csv
N_puntos: 42384876
N_nodos: 230189
N_nodos_hoja: 172635
MinRadius: 0.1 m
Area_minima: 0.04 m^2

OBSERVADO: 
N_medio_pts/nodo: 245
__min: 0
__max: 512
Densidad_media: 6137.93
__min: 0
__max: 12800

ESTIMADO: 
N_medio_pts/nodo: 4.78799
Densidad_media: 119.7

x_i n_i x_i*n_i rho_i rho_i*n_i
201 590 118590 5025 2.96475e+06
202 681 137562 5050 3.43905e+06
203 580 117740 5075 2.9435e+06
204 618 126072 5100 3.1518e+06
205 556 113980 5125 2.8495e+06
206 575 118450 5150 2.96125e+06
207 602 124614 5175 3.11535e+06
208 609 126672 5200 3.1668e+06
209 574 119966 5225 2.99915e+06
210 574 120540 5250 3.0135e+06
211 587 123857 5275 3.09642e+06
212 600 127200 5300 3.18e+06
213 557 118641 5325 2.96602e+06
214 604 129256 5350 3.2314e+06
215 609 130935 5375 3.27337e+06
216 565 122040 5400 3.051e+06
217 569 123473 5425 3.08682e+06
218 564 122952 5450 3.0738e+06
219 580 127020 5475 3.1755e+06
220 523 115060 5500 2.8765e+06
221 569 125749 5525 3.14372e+06
222 584 129648 5550 3.2412e+06
223 582 129786 5575 3.24465e+06
224 552 123648 5600 3.0912e+06
225 572 128700 5625 3.2175e+06
226 539 121814 5650 3.04535e+06
227 526 119402 5675 2.98505e+06
228 525 119700 5700 2.9925e+06
229 539 123431 5725 3.08577e+06
230 516 118680 5750 2.967e+06
231 506 116886 5775 2.92215e+06
232 455 105560 5800 2.639e+06
233 477 111141 5825 2.77852e+06
234 484 113256 5850 2.8314e+06
235 488 114680 5875 2.867e+06
236 474 111864 5900 2.7966e+06
237 488 115656 5925 2.8914e+06
238 464 110432 5950 2.7608e+06
239 456 108984 5975 2.7246e+06
240 485 116400 6000 2.91e+06
241 507 122187 6025 3.05467e+06
242 475 114950 6050 2.87375e+06
243 478 116154 6075 2.90385e+06
244 460 112240 6100 2.806e+06
245 491 120295 6125 3.00737e+06
246 470 115620 6150 2.8905e+06
247 478 118066 6175 2.95165e+06
248 408 101184 6200 2.5296e+06
249 431 107319 6225 2.68297e+06
250 452 113000 6250 2.825e+06
251 398 99898 6275 2.49745e+06
252 431 108612 6300 2.7153e+06
253 436 110308 6325 2.7577e+06
254 435 110490 6350 2.76225e+06
255 412 105060 6375 2.6265e+06
256 410 104960 6400 2.624e+06
257 412 105884 6425 2.6471e+06
258 380 98040 6450 2.451e+06
259 423 109557 6475 2.73892e+06
260 419 108940 6500 2.7235e+06
261 370 96570 6525 2.41425e+06
262 404 105848 6550 2.6462e+06
263 416 109408 6575 2.7352e+06
264 381 100584 6600 2.5146e+06
265 410 108650 6625 2.71625e+06
266 398 105868 6650 2.6467e+06
267 384 102528 6675 2.5632e+06
268 415 111220 6700 2.7805e+06
269 408 109752 6725 2.7438e+06
270 363 98010 6750 2.45025e+06
271 424 114904 6775 2.8726e+06
272 420 114240 6800 2.856e+06
273 399 108927 6825 2.72317e+06
274 402 110148 6850 2.7537e+06
275 380 104500 6875 2.6125e+06
276 362 99912 6900 2.4978e+06
277 373 103321 6925 2.58302e+06
278 357 99246 6950 2.48115e+06
279 357 99603 6975 2.49007e+06
280 372 104160 7000 2.604e+06
281 355 99755 7025 2.49387e+06
282 365 102930 7050 2.57325e+06
283 365 103295 7075 2.58237e+06
284 347 98548 7100 2.4637e+06
285 352 100320 7125 2.508e+06
286 350 100100 7150 2.5025e+06
287 382 109634 7175 2.74085e+06
288 361 103968 7200 2.5992e+06
289 380 109820 7225 2.7455e+06
290 356 103240 7250 2.581e+06
291 370 107670 7275 2.69175e+06
292 341 99572 7300 2.4893e+06
293 336 98448 7325 2.4612e+06
294 387 113778 7350 2.84445e+06
295 356 105020 7375 2.6255e+06
296 346 102416 7400 2.5604e+06
297 333 98901 7425 2.47252e+06
298 349 104002 7450 2.60005e+06
299 333 99567 7475 2.48917e+06
300 331 99300 7500 2.4825e+06
301 348 104748 7525 2.6187e+06
302 357 107814 7550 2.69535e+06
303 370 112110 7575 2.80275e+06
304 350 106400 7600 2.66e+06
305 326 99430 7625 2.48575e+06
306 339 103734 7650 2.59335e+06
307 336 103152 7675 2.5788e+06
308 332 102256 7700 2.5564e+06
309 336 103824 7725 2.5956e+06
310 345 106950 7750 2.67375e+06
311 345 107295 7775 2.68237e+06
312 319 99528 7800 2.4882e+06
313 303 94839 7825 2.37097e+06
