HISTOGRAM: ../bin/data/AlcoyH_salida.xyz.csv
N_puntos: 20380212
N_nodos: 153205
N_nodos_hoja: 114898
MinRadius: 1.4 m
Area_minima: 7.84 m^2

OBSERVADO: 
N_medio_pts/nodo: 177
__min: 0
__max: 3947
Densidad_media: 22.6246
__min: 0
__max: 503.444

ESTIMADO: 
N_medio_pts/nodo: 59.3776
Densidad_media: 7.57367

x_i n_i x_i*n_i rho_i rho_i*n_i
178 165 29370 22.7041 3746.17
179 154 27566 22.8316 3516.07
180 144 25920 22.9592 3306.12
181 172 31132 23.0867 3970.92
182 196 35672 23.2143 4550
183 189 34587 23.3418 4411.61
184 146 26864 23.4694 3426.53
185 183 33855 23.5969 4318.24
186 212 39432 23.7245 5029.59
187 216 40392 23.852 5152.04
188 224 42112 23.9796 5371.43
189 217 41013 24.1071 5231.25
190 222 42180 24.2347 5380.1
191 234 44694 24.3622 5700.77
192 219 42048 24.4898 5363.27
193 247 47671 24.6173 6080.48
194 264 51216 24.7449 6532.65
195 232 45240 24.8724 5770.41
196 299 58604 25 7475
197 293 57721 25.1276 7362.37
198 284 56232 25.2551 7172.45
199 268 53332 25.3827 6802.55
200 328 65600 25.5102 8367.35
201 321 64521 25.6378 8229.72
202 276 55752 25.7653 7111.22
203 277 56231 25.8929 7172.32
204 323 65892 26.0204 8404.59
205 304 62320 26.148 7948.98
206 289 59534 26.2755 7593.62
207 342 70794 26.4031 9029.85
208 304 63232 26.5306 8065.31
209 364 76076 26.6582 9703.57
210 331 69510 26.7857 8866.07
211 326 68786 26.9133 8773.72
212 343 72716 27.0408 9275
213 320 68160 27.1684 8693.88
214 335 71690 27.2959 9144.13
215 336 72240 27.4235 9214.29
216 306 66096 27.551 8430.61
217 332 72044 27.6786 9189.29
218 294 64092 27.8061 8175
219 305 66795 27.9337 8519.77
220 342 75240 28.0612 9596.94
221 333 73593 28.1888 9386.86
222 314 69708 28.3163 8891.33
223 334 74482 28.4439 9500.26
224 293 65632 28.5714 8371.43
225 268 60300 28.699 7691.33
226 302 68252 28.8265 8705.61
227 301 68327 28.9541 8715.18
228 306 69768 29.0816 8898.98
229 289 66181 29.2092 8441.45
230 288 66240 29.3367 8448.98
231 278 64218 29.4643 8191.07
232 290 67280 29.5918 8581.63
233 281 65473 29.7194 8351.15
234 295 69030 29.8469 8804.85
235 288 67680 29.9745 8632.65
236 296 69856 30.102 8910.2
237 280 66360 30.2296 8464.29
238 276 65688 30.3571 8378.57
239 292 69788 30.4847 8901.53
240 284 68160 30.6122 8693.88
241 263 63383 30.7398 8084.57
242 264 63888 30.8673 8148.98
243 249 60507 30.9949 7717.73
244 267 65148 31.1225 8309.69
245 270 66150 31.25 8437.5
246 270 66420 31.3776 8471.94
247 271 66937 31.5051 8537.88
248 258 63984 31.6327 8161.22
249 259 64491 31.7602 8225.89
250 228 57000 31.8878 7270.41
251 258 64758 32.0153 8259.95
252 238 59976 32.1429 7650
253 237 59961 32.2704 7648.09
254 232 58928 32.398 7516.33
255 251 64005 32.5255 8163.9
256 243 62208 32.6531 7934.69
257 241 61937 32.7806 7900.13
258 259 66822 32.9082 8523.21
259 231 59829 33.0357 7631.25
260 211 54860 33.1633 6997.45
261 208 54288 33.2908 6924.49
262 236 61832 33.4184 7886.73
263 234 61542 33.5459 7849.75
264 211 55704 33.6735 7105.1
265 232 61480 33.801 7841.84
266 228 60648 33.9286 7735.71
267 216 57672 34.0561 7356.12
268 244 65392 34.1837 8340.82
269 210 56490 34.3112 7205.36
270 179 48330 34.4388 6164.54
271 218 59078 34.5663 7535.46
272 212 57664 34.6939 7355.1
273 200 54600 34.8214 6964.29
274 207 56718 34.949 7234.44
275 187 51425 35.0765 6559.31
276 209 57684 35.2041 7357.65
277 221 61217 35.3316 7808.29
278 195 54210 35.4592 6914.54
279 186 51894 35.5867 6619.13
280 200 56000 35.7143 7142.86
281 182 51142 35.8418 6523.21
282 193 54426 35.9694 6942.09
283 186 52638 36.0969 6714.03
284 210 59640 36.2245 7607.14
285 177 50445 36.352 6434.31
286 182 52052 36.4796 6639.29
287 149 42763 36.6071 5454.46
288 184 52992 36.7347 6759.18
289 179 51731 36.8622 6598.34
290 190 55100 36.9898 7028.06
291 175 50925 37.1173 6495.54
292 168 49056 37.2449 6257.14
293 179 52447 37.3725 6689.67
294 182 53508 37.5 6825
295 171 50445 37.6276 6434.31
296 175 51800 37.7551 6607.14
297 159 47223 37.8827 6023.34
298 147 43806 38.0102 5587.5
299 149 44551 38.1378 5682.53
300 150 45000 38.2653 5739.8
301 172 51772 38.3929 6603.57
302 151 45602 38.5204 5816.58
303 139 42117 38.648 5372.07
304 143 43472 38.7755 5544.9
305 157 47885 38.9031 6107.78
306 133 40698 39.0306 5191.07
307 154 47278 39.1582 6030.36
308 145 44660 39.2857 5696.43
