HISTOGRAM: ../bin/data/BrionFH_salida.xyz.csv
N_puntos: 42384876
N_nodos: 129797
N_nodos_hoja: 97342
MinRadius: 0.1 m
Area_minima: 0.04 m^2

OBSERVADO: 
N_medio_pts/nodo: 435
__min: 0
__max: 1024
Densidad_media: 10885.6
__min: 0
__max: 25600

ESTIMADO: 
N_medio_pts/nodo: 4.78799
Densidad_media: 119.7

x_i n_i x_i*n_i rho_i rho_i*n_i
242 177 42834 6050 1.07085e+06
243 178 43254 6075 1.08135e+06
244 170 41480 6100 1.037e+06
245 156 38220 6125 955500
246 158 38868 6150 971700
247 169 41743 6175 1.04357e+06
248 161 39928 6200 998200
249 177 44073 6225 1.10182e+06
250 199 49750 6250 1.24375e+06
251 166 41666 6275 1.04165e+06
252 193 48636 6300 1.2159e+06
253 193 48829 6325 1.22072e+06
254 222 56388 6350 1.4097e+06
255 213 54315 6375 1.35787e+06
256 219 56064 6400 1.4016e+06
257 223 57311 6425 1.43277e+06
258 184 47472 6450 1.1868e+06
259 228 59052 6475 1.4763e+06
260 227 59020 6500 1.4755e+06
261 213 55593 6525 1.38982e+06
262 224 58688 6550 1.4672e+06
263 240 63120 6575 1.578e+06
264 228 60192 6600 1.5048e+06
265 248 65720 6625 1.643e+06
266 236 62776 6650 1.5694e+06
267 244 65148 6675 1.6287e+06
268 268 71824 6700 1.7956e+06
269 258 69402 6725 1.73505e+06
270 217 58590 6750 1.46475e+06
271 284 76964 6775 1.9241e+06
272 288 78336 6800 1.9584e+06
273 262 71526 6825 1.78815e+06
274 280 76720 6850 1.918e+06
275 287 78925 6875 1.97312e+06
276 262 72312 6900 1.8078e+06
277 262 72574 6925 1.81435e+06
278 256 71168 6950 1.7792e+06
279 266 74214 6975 1.85535e+06
280 265 74200 7000 1.855e+06
281 265 74465 7025 1.86162e+06
282 282 79524 7050 1.9881e+06
283 290 82070 7075 2.05175e+06
284 268 76112 7100 1.9028e+06
285 268 76380 7125 1.9095e+06
286 270 77220 7150 1.9305e+06
287 308 88396 7175 2.2099e+06
288 288 82944 7200 2.0736e+06
289 302 87278 7225 2.18195e+06
290 286 82940 7250 2.0735e+06
291 307 89337 7275 2.23342e+06
292 268 78256 7300 1.9564e+06
293 264 77352 7325 1.9338e+06
294 332 97608 7350 2.4402e+06
295 284 83780 7375 2.0945e+06
296 293 86728 7400 2.1682e+06
297 280 83160 7425 2.079e+06
298 294 87612 7450 2.1903e+06
299 289 86411 7475 2.16027e+06
300 289 86700 7500 2.1675e+06
301 294 88494 7525 2.21235e+06
302 298 89996 7550 2.2499e+06
303 318 96354 7575 2.40885e+06
304 308 93632 7600 2.3408e+06
305 284 86620 7625 2.1655e+06
306 303 92718 7650 2.31795e+06
307 290 89030 7675 2.22575e+06
308 290 89320 7700 2.233e+06
309 288 88992 7725 2.2248e+06
310 304 94240 7750 2.356e+06
311 294 91434 7775 2.28585e+06
312 289 90168 7800 2.2542e+06
313 275 86075 7825 2.15187e+06
314 290 91060 7850 2.2765e+06
315 321 101115 7875 2.52787e+06
316 297 93852 7900 2.3463e+06
317 314 99538 7925 2.48845e+06
318 303 96354 7950 2.40885e+06
319 287 91553 7975 2.28882e+06
320 264 84480 8000 2.112e+06
321 285 91485 8025 2.28712e+06
322 340 109480 8050 2.737e+06
323 314 101422 8075 2.53555e+06
324 295 95580 8100 2.3895e+06
325 308 100100 8125 2.5025e+06
326 310 101060 8150 2.5265e+06
327 309 101043 8175 2.52607e+06
328 294 96432 8200 2.4108e+06
329 282 92778 8225 2.31945e+06
330 324 106920 8250 2.673e+06
331 278 92018 8275 2.30045e+06
332 298 98936 8300 2.4734e+06
333 282 93906 8325 2.34765e+06
334 303 101202 8350 2.53005e+06
335 297 99495 8375 2.48737e+06
336 274 92064 8400 2.3016e+06
337 268 90316 8425 2.2579e+06
338 258 87204 8450 2.1801e+06
339 281 95259 8475 2.38147e+06
340 276 93840 8500 2.346e+06
341 315 107415 8525 2.68537e+06
342 289 98838 8550 2.47095e+06
343 282 96726 8575 2.41815e+06
344 294 101136 8600 2.5284e+06
345 287 99015 8625 2.47537e+06
346 263 90998 8650 2.27495e+06
347 290 100630 8675 2.51575e+06
348 274 95352 8700 2.3838e+06
349 278 97022 8725 2.42555e+06
350 283 99050 8750 2.47625e+06
351 261 91611 8775 2.29027e+06
352 292 102784 8800 2.5696e+06
353 306 108018 8825 2.70045e+06
354 275 97350 8850 2.43375e+06
355 291 103305 8875 2.58262e+06
356 296 105376 8900 2.6344e+06
357 295 105315 8925 2.63287e+06
358 293 104894 8950 2.62235e+06
359 261 93699 8975 2.34247e+06
360 296 106560 9000 2.664e+06
361 286 103246 9025 2.58115e+06
362 296 107152 9050 2.6788e+06
363 297 107811 9075 2.69527e+06
364 278 101192 9100 2.5298e+06
365 242 88330 9125 2.20825e+06
366 267 97722 9150 2.44305e+06
367 243 89181 9175 2.22952e+06
368 252 92736 9200 2.3184e+06
369 247 91143 9225 2.27857e+06
370 251 92870 9250 2.32175e+06
371 278 103138 9275 2.57845e+06
372 269 100068 9300 2.5017e+06
373 268 99964 9325 2.4991e+06
374 252 94248 9350 2.3562e+06
375 270 101250 9375 2.53125e+06
376 283 106408 9400 2.6602e+06
377 276 104052 9425 2.6013e+06
378 287 108486 9450 2.71215e+06
379 290 109910 9475 2.74775e+06
380 267 101460 9500 2.5365e+06
381 275 104775 9525 2.61937e+06
382 291 111162 9550 2.77905e+06
383 261 99963 9575 2.49907e+06
384 248 95232 9600 2.3808e+06
385 258 99330 9625 2.48325e+06
386 267 103062 9650 2.57655e+06
387 254 98298 9675 2.45745e+06
388 238 92344 9700 2.3086e+06
389 247 96083 9725 2.40207e+06
390 260 101400 9750 2.535e+06
391 274 107134 9775 2.67835e+06
392 273 107016 9800 2.6754e+06
393 247 97071 9825 2.42677e+06
394 278 109532 9850 2.7383e+06
395 275 108625 9875 2.71562e+06
396 238 94248 9900 2.3562e+06
397 265 105205 9925 2.63012e+06
398 263 104674 9950 2.61685e+06
399 267 106533 9975 2.66332e+06
400 264 105600 10000 2.64e+06
401 258 103458 10025 2.58645e+06
402 245 98490 10050 2.46225e+06
403 212 85436 10075 2.1359e+06
404 249 100596 10100 2.5149e+06
405 243 98415 10125 2.46037e+06
406 247 100282 10150 2.50705e+06
407 234 95238 10175 2.38095e+06
408 229 93432 10200 2.3358e+06
409 245 100205 10225 2.50512e+06
410 249 102090 10250 2.55225e+06
411 252 103572 10275 2.5893e+06
412 229 94348 10300 2.3587e+06
413 233 96229 10325 2.40572e+06
414 240 99360 10350 2.484e+06
415 248 102920 10375 2.573e+06
416 264 109824 10400 2.7456e+06
417 214 89238 10425 2.23095e+06
418 233 97394 10450 2.43485e+06
419 237 99303 10475 2.48257e+06
420 244 102480 10500 2.562e+06
421 204 85884 10525 2.1471e+06
422 218 91996 10550 2.2999e+06
423 228 96444 10575 2.4111e+06
424 208 88192 10600 2.2048e+06
425 216 91800 10625 2.295e+06
426 236 100536 10650 2.5134e+06
427 244 104188 10675 2.6047e+06
428 207 88596 10700 2.2149e+06
429 250 107250 10725 2.68125e+06
