HISTOGRAM: ../bin/data/BrionUH_salida.xyz.csv
N_puntos: 48024480
N_nodos: 781581
N_nodos_hoja: 586186
MinRadius: 0.2 m
Area_minima: 0.16 m^2

OBSERVADO: 
N_medio_pts/nodo: 81
__min: 0
__max: 776
Densidad_media: 512.044
__min: 0
__max: 4850

ESTIMADO: 
N_medio_pts/nodo: 19.5377
Densidad_media: 122.111

x_i n_i x_i*n_i rho_i rho_i*n_i
160 1118 178880 1000 1.118e+06
161 1087 175007 1006.25 1.09379e+06
162 1066 172692 1012.5 1.07932e+06
163 985 160555 1018.75 1.00347e+06
164 1022 167608 1025 1.04755e+06
165 968 159720 1031.25 998250
166 1044 173304 1037.5 1.08315e+06
167 941 157147 1043.75 982169
168 952 159936 1050 999600
169 897 151593 1056.25 947456
170 877 149090 1062.5 931812
171 808 138168 1068.75 863550
172 781 134332 1075 839575
173 806 139438 1081.25 871487
174 803 139722 1087.5 873262
175 796 139300 1093.75 870625
176 735 129360 1100 808500
177 731 129387 1106.25 808669
178 753 134034 1112.5 837712
179 756 135324 1118.75 845775
180 667 120060 1125 750375
181 660 119460 1131.25 746625
182 611 111202 1137.5 695012
183 657 120231 1143.75 751444
184 682 125488 1150 784300
185 575 106375 1156.25 664844
186 619 115134 1162.5 719587
187 606 113322 1168.75 708262
188 602 113176 1175 707350
189 569 107541 1181.25 672131
190 573 108870 1187.5 680437
191 523 99893 1193.75 624331
192 500 96000 1200 600000
193 505 97465 1206.25 609156
194 489 94866 1212.5 592912
195 496 96720 1218.75 604500
196 442 86632 1225 541450
197 502 98894 1231.25 618087
198 502 99396 1237.5 621225
199 432 85968 1243.75 537300
200 436 87200 1250 545000
201 412 82812 1256.25 517575
202 435 87870 1262.5 549187
203 416 84448 1268.75 527800
204 435 88740 1275 554625
205 391 80155 1281.25 500969
206 416 85696 1287.5 535600
207 380 78660 1293.75 491625
208 331 68848 1300 430300
209 359 75031 1306.25 468944
210 368 77280 1312.5 483000
211 372 78492 1318.75 490575
212 325 68900 1325 430625
213 354 75402 1331.25 471262
214 345 73830 1337.5 461437
215 281 60415 1343.75 377594
216 318 68688 1350 429300
217 303 65751 1356.25 410944
218 303 66054 1362.5 412837
219 305 66795 1368.75 417469
220 283 62260 1375 389125
221 271 59891 1381.25 374319
222 268 59496 1387.5 371850
223 279 62217 1393.75 388856
224 272 60928 1400 380800
225 254 57150 1406.25 357187
226 253 57178 1412.5 357362
227 237 53799 1418.75 336244
228 219 49932 1425 312075
229 227 51983 1431.25 324894
230 242 55660 1437.5 347875
231 213 49203 1443.75 307519
232 212 49184 1450 307400
233 213 49629 1456.25 310181
234 205 47970 1462.5 299812
235 206 48410 1468.75 302562
236 190 44840 1475 280250
237 202 47874 1481.25 299212
238 200 47600 1487.5 297500
239 193 46127 1493.75 288294
240 197 47280 1500 295500
241 183 44103 1506.25 275644
242 156 37752 1512.5 235950
243 183 44469 1518.75 277931
244 169 41236 1525 257725
245 164 40180 1531.25 251125
246 174 42804 1537.5 267525
247 182 44954 1543.75 280962
248 144 35712 1550 223200
249 168 41832 1556.25 261450
250 139 34750 1562.5 217187
251 159 39909 1568.75 249431
252 133 33516 1575 209475
253 123 31119 1581.25 194494
254 133 33782 1587.5 211137
255 131 33405 1593.75 208781
256 121 30976 1600 193600
257 142 36494 1606.25 228087
258 105 27090 1612.5 169312
259 108 27972 1618.75 174825
260 108 28080 1625 175500
261 106 27666 1631.25 172912
262 109 28558 1637.5 178487
263 100 26300 1643.75 164375
264 113 29832 1650 186450
265 103 27295 1656.25 170594
266 85 22610 1662.5 141312
267 111 29637 1668.75 185231
268 92 24656 1675 154100
269 102 27438 1681.25 171487
270 92 24840 1687.5 155250
271 88 23848 1693.75 149050
272 81 22032 1700 137700
273 87 23751 1706.25 148444
274 95 26030 1712.5 162687
275 92 25300 1718.75 158125
276 91 25116 1725 156975
277 78 21606 1731.25 135037
278 94 26132 1737.5 163325
279 72 20088 1743.75 125550
280 70 19600 1750 122500
281 81 22761 1756.25 142256
282 63 17766 1762.5 111037
