InputFile NumThreads MinRadius MaxNumber Level TreeTime OwmTime Correctness
../bin/data/ArzuaH.xyz 6 0.1 32 9 1.045853 1.760193 99.9819
../bin/data/ArzuaH.xyz 8 0.1 32 9 0.811336 1.344493 99.9819
../bin/data/BrionFH.xyz 1 0.1 32 2 3.312536 4.337291 100
../bin/data/BrionFH.xyz 2 0.1 32 2 1.785692 2.582399 100
../bin/data/BrionFH.xyz 4 0.1 32 2 1.428012 1.890605 100
../bin/data/BrionFH.xyz 6 0.1 32 2 1.706132 1.731672 100
../bin/data/BrionFH.xyz 8 0.1 32 2 1.311026 2.054930 100
../bin/data/BrionFH.xyz 1 0.1 32 3 3.244993 4.343992 100
../bin/data/BrionFH.xyz 2 0.1 32 3 1.746234 2.530143 100
../bin/data/BrionFH.xyz 4 0.1 32 3 1.255781 1.813688 100
../bin/data/BrionFH.xyz 6 0.1 32 3 1.103353 1.683419 100
../bin/data/BrionFH.xyz 8 0.1 32 3 0.951135 2.000570 100
../bin/data/BrionFH.xyz 1 0.1 32 4 3.526102 4.187497 100
../bin/data/BrionFH.xyz 2 0.1 32 4 1.852919 2.397452 100
../bin/data/BrionFH.xyz 4 0.1 32 4 1.302570 1.757969 100
../bin/data/BrionFH.xyz 6 0.1 32 4 0.919382 1.605601 100
../bin/data/BrionFH.xyz 8 0.1 32 4 0.771331 1.944191 100
../bin/data/BrionFH.xyz 1 0.1 32 5 4.119819 3.997451 100
../bin/data/BrionFH.xyz 2 0.1 32 5 2.189437 2.386268 100
../bin/data/BrionFH.xyz 4 0.1 32 5 1.403347 1.665652 100
../bin/data/BrionFH.xyz 6 0.1 32 5 1.004499 1.554836 100
../bin/data/BrionFH.xyz 8 0.1 32 5 0.782061 1.881580 100
../bin/data/BrionFH.xyz 1 0.1 32 6 4.523329 4.065127 100
../bin/data/BrionFH.xyz 2 0.1 32 6 2.413769 2.300540 100
../bin/data/BrionFH.xyz 4 0.1 32 6 1.546821 1.628229 100
../bin/data/BrionFH.xyz 6 0.1 32 6 1.101929 1.512107 100
../bin/data/BrionFH.xyz 8 0.1 32 6 0.857726 1.832602 100
../bin/data/BrionFH.xyz 1 0.1 32 7 4.916204 4.027885 100
../bin/data/BrionFH.xyz 2 0.1 32 7 2.533005 2.261015 100
../bin/data/BrionFH.xyz 4 0.1 32 7 1.685813 1.602022 100
../bin/data/BrionFH.xyz 6 0.1 32 7 1.182642 1.484931 100
../bin/data/BrionFH.xyz 8 0.1 32 7 0.931859 1.800942 100
../bin/data/BrionFH.xyz 1 0.1 32 8 4.877128 3.818257 100
../bin/data/BrionFH.xyz 2 0.1 32 8 2.609496 2.360204 100
../bin/data/BrionFH.xyz 4 0.1 32 8 1.705814 1.631567 100
../bin/data/BrionFH.xyz 6 0.1 32 8 1.186616 1.462080 100
../bin/data/BrionFH.xyz 8 0.1 32 8 0.941264 1.795802 100
../bin/data/BrionFH.xyz 1 0.1 32 9 5.556722 4.073771 100
../bin/data/BrionFH.xyz 2 0.1 32 9 2.918778 2.307212 100
../bin/data/BrionFH.xyz 4 0.1 32 9 1.962208 1.620257 100
../bin/data/BrionFH.xyz 6 0.1 32 9 1.392483 1.469524 100
../bin/data/BrionFH.xyz 8 0.1 32 9 1.097672 1.786217 100
../bin/data/BrionUH.xyz 1 0.1 32 2 3.627411 4.953211 100
../bin/data/BrionUH.xyz 2 0.1 32 2 2.028808 2.818579 100
../bin/data/BrionUH.xyz 4 0.1 32 2 1.767852 2.094573 100
../bin/data/BrionUH.xyz 6 0.1 32 2 1.728408 1.996747 100
../bin/data/BrionUH.xyz 8 0.1 32 2 1.675720 2.360867 100
../bin/data/BrionUH.xyz 1 0.1 32 3 3.575613 4.712095 100
../bin/data/BrionUH.xyz 2 0.1 32 3 1.899200 2.802342 100
../bin/data/BrionUH.xyz 4 0.1 32 3 1.523654 2.043209 100
../bin/data/BrionUH.xyz 6 0.1 32 3 1.147781 1.957376 100
../bin/data/BrionUH.xyz 8 0.1 32 3 1.175074 2.339446 100
../bin/data/BrionUH.xyz 1 0.1 32 4 3.912335 4.567853 100
../bin/data/BrionUH.xyz 2 0.1 32 4 2.073100 2.734354 100
../bin/data/BrionUH.xyz 4 0.1 32 4 1.462339 1.979803 100
../bin/data/BrionUH.xyz 6 0.1 32 4 1.029005 1.909208 100
../bin/data/BrionUH.xyz 8 0.1 32 4 0.955939 2.291340 100
../bin/data/BrionUH.xyz 1 0.1 32 5 4.592717 4.462444 100
../bin/data/BrionUH.xyz 2 0.1 32 5 2.405233 2.570122 100
../bin/data/BrionUH.xyz 4 0.1 32 5 1.557708 1.902143 100
../bin/data/BrionUH.xyz 6 0.1 32 5 1.108265 1.833805 100
../bin/data/BrionUH.xyz 8 0.1 32 5 0.918934 2.208017 100
../bin/data/BrionUH.xyz 1 0.1 32 6 5.071229 4.559736 100
../bin/data/BrionUH.xyz 2 0.1 32 6 2.629415 2.570137 100
../bin/data/BrionUH.xyz 4 0.1 32 6 1.730254 1.846330 100
../bin/data/BrionUH.xyz 6 0.1 32 6 1.226156 1.783837 100
../bin/data/BrionUH.xyz 8 0.1 32 6 0.975801 2.186967 100
../bin/data/BrionUH.xyz 1 0.1 32 7 5.447553 4.478332 100
../bin/data/BrionUH.xyz 2 0.1 32 7 2.900689 2.513594 100
../bin/data/BrionUH.xyz 4 0.1 32 7 1.889027 1.810629 100
../bin/data/BrionUH.xyz 6 0.1 32 7 1.311918 1.743590 100
../bin/data/BrionUH.xyz 8 0.1 32 7 1.045089 2.153547 100
../bin/data/BrionUH.xyz 1 0.1 32 8 5.478185 4.471438 100
../bin/data/BrionUH.xyz 2 0.1 32 8 2.924485 2.531060 100
../bin/data/BrionUH.xyz 4 0.1 32 8 1.903254 1.824253 100
../bin/data/BrionUH.xyz 6 0.1 32 8 1.328486 1.753851 100
../bin/data/BrionUH.xyz 8 0.1 32 8 1.054790 2.129616 100
../bin/data/BrionUH.xyz 1 0.1 32 9 6.255222 4.414677 100
../bin/data/BrionUH.xyz 2 0.1 32 9 3.261653 2.567409 100
../bin/data/BrionUH.xyz 4 0.1 32 9 2.213917 1.845242 100
../bin/data/BrionUH.xyz 6 0.1 32 9 1.541473 1.754527 100
../bin/data/BrionUH.xyz 8 0.1 32 9 1.220390 2.116789 100
