owm-sycl-cpu;Alcoy;0.39500;0.19951;0;64
owm-sycl-cpu;Arzua;0.82466;0.20973;0;128
owm-sycl-cpu;BrionF;0.97516;0.11764;0;128
owm-sycl-cpu;BrionU;1.10851;0.13160;0;128
owm-sycl-cpu-nomemo;Alcoy;0.39150;0.23299;0;64
owm-sycl-cpu-nomemo;Arzua;0.81605;0.29538;0;128
owm-sycl-cpu-nomemo;BrionF;0.97217;0.20970;0;128
owm-sycl-cpu-nomemo;BrionU;1.11269;0.24658;0;128
owm-sycl-igpu;Alcoy;3.07278;1.03355;0;8
owm-sycl-igpu;Arzua;2.64879;1.12665;0;16
owm-sycl-igpu;BrionF;7.38073;0.64787;0;16
owm-sycl-igpu;BrionU;3.38511;0.70229;0;16
owm-sycl-igpu-nomemo;Alcoy;2.92565;1.39819;0;64
owm-sycl-igpu-nomemo;Arzua;2.51362;2.41186;0;128
owm-sycl-igpu-nomemo;BrionF;7.24851;1.97428;0;64
owm-sycl-igpu-nomemo;BrionU;3.23104;2.28891;0;128
owm-sycl-dgpu;Alcoy;0.18448;0.23006;0;64
owm-sycl-dgpu;Arzua;0.29574;0.23357;0;16
owm-sycl-dgpu;BrionF;0.62198;0.16245;0;64
owm-sycl-dgpu;BrionU;0.47405;0.16578;0;32
owm-sycl-dgpu-nomemo;Alcoy;0.18452;0.26590;0;64
owm-sycl-dgpu-nomemo;Arzua;0.20809;0.47153;0;128
owm-sycl-dgpu-nomemo;BrionF;0.60640;0.44040;0;128
owm-sycl-dgpu-nomemo;BrionU;0.42984;0.50017;0;128
owm-cuda;Alcoy;0.02138;0.12450;0;64
owm-cuda;Arzua;0.04515;0.14434;0;32
owm-cuda;BrionF;0.06139;0.09784;0;64
owm-cuda;BrionU;0.07087;0.10621;0;64
owm-cuda-nomemo;Alcoy;0.02140;0.14065;0;64
owm-cuda-nomemo;Arzua;0.04098;0.22858;0;64
owm-cuda-nomemo;BrionF;0.05988;0.23664;0;256
owm-cuda-nomemo;BrionU;0.06790;0.25386;0;256
