HISTOGRAM: ../bin/data/ArzuaH_salida.xyz.csv
N_puntos: 40706503
N_nodos: 349525
N_nodos_hoja: 262144
MinRadius: 0.6 m
Area_minima: 1.44 m^2

OBSERVADO: 
N_medio_pts/nodo: 155
__min: 0
__max: 6606
Densidad_media: 107.835
__min: 0
__max: 4587.5

ESTIMADO: 
N_medio_pts/nodo: 58.6185
Densidad_media: 40.7073

x_i n_i x_i*n_i rho_i rho_i*n_i
187 412 77044 129.861 53502.8
188 376 70688 130.556 49088.9
189 379 71631 131.25 49743.7
190 384 72960 131.944 50666.7
191 351 67041 132.639 46556.2
192 356 68352 133.333 47466.7
193 352 67936 134.028 47177.8
194 335 64990 134.722 45131.9
195 353 68835 135.417 47802.1
196 343 67228 136.111 46686.1
197 346 68162 136.806 47334.7
198 344 68112 137.5 47300
199 318 63282 138.194 43945.8
200 336 67200 138.889 46666.7
201 343 68943 139.583 47877.1
202 311 62822 140.278 43626.4
203 293 59479 140.972 41304.9
204 327 66708 141.667 46325
205 316 64780 142.361 44986.1
206 290 59740 143.056 41486.1
207 294 60858 143.75 42262.5
208 292 60736 144.444 42177.8
209 246 51414 145.139 35704.2
210 263 55230 145.833 38354.2
211 229 48319 146.528 33554.9
212 288 61056 147.222 42400
213 289 61557 147.917 42747.9
214 258 55212 148.611 38341.7
215 254 54610 149.306 37923.6
216 260 56160 150 39000
217 294 63798 150.694 44304.2
218 254 55372 151.389 38452.8
219 214 46866 152.083 32545.8
220 252 55440 152.778 38500
221 234 51714 153.472 35912.5
222 237 52614 154.167 36537.5
223 253 56419 154.861 39179.9
224 225 50400 155.556 35000
225 234 52650 156.25 36562.5
226 218 49268 156.944 34213.9
227 225 51075 157.639 35468.7
228 224 51072 158.333 35466.7
229 211 48319 159.028 33554.9
230 221 50830 159.722 35298.6
231 208 48048 160.417 33366.7
232 220 51040 161.111 35444.4
233 196 45668 161.806 31713.9
234 195 45630 162.5 31687.5
235 202 47470 163.194 32965.3
236 211 49796 163.889 34580.6
237 201 47637 164.583 33081.2
238 179 42602 165.278 29584.7
239 187 44693 165.972 31036.8
240 213 51120 166.667 35500
241 197 47477 167.361 32970.1
242 181 43802 168.056 30418.1
243 185 44955 168.75 31218.7
244 188 45872 169.444 31855.6
245 206 50470 170.139 35048.6
246 157 38622 170.833 26820.8
247 183 45201 171.528 31389.6
248 170 42160 172.222 29277.8
249 204 50796 172.917 35275
250 185 46250 173.611 32118.1
251 166 41666 174.306 28934.7
252 180 45360 175 31500
253 187 47311 175.694 32854.9
254 186 47244 176.389 32808.3
255 180 45900 177.083 31875
256 168 43008 177.778 29866.7
257 171 43947 178.472 30518.7
258 158 40764 179.167 28308.3
259 187 48433 179.861 33634
260 168 43680 180.556 30333.3
