HISTOGRAM: ../bin/data/BrionFH_salida.xyz.csv
N_puntos: 42384876
N_nodos: 803725
N_nodos_hoja: 602794
MinRadius: 0.2 m
Area_minima: 0.16 m^2

OBSERVADO: 
N_medio_pts/nodo: 70
__min: 0
__max: 686
Densidad_media: 439.463
__min: 0
__max: 4287.5

ESTIMADO: 
N_medio_pts/nodo: 19.152
Densidad_media: 119.7

x_i n_i x_i*n_i rho_i rho_i*n_i
167 521 87007 1043.75 543794
168 503 84504 1050 528150
169 469 79261 1056.25 495381
170 437 74290 1062.5 464312
171 440 75240 1068.75 470250
172 473 81356 1075 508475
173 427 73871 1081.25 461694
174 377 65598 1087.5 409987
175 390 68250 1093.75 426562
176 373 65648 1100 410300
177 397 70269 1106.25 439181
178 341 60698 1112.5 379362
179 339 60681 1118.75 379256
180 360 64800 1125 405000
181 334 60454 1131.25 377837
182 335 60970 1137.5 381062
183 336 61488 1143.75 384300
184 333 61272 1150 382950
185 306 56610 1156.25 353812
186 270 50220 1162.5 313875
187 304 56848 1168.75 355300
188 254 47752 1175 298450
189 270 51030 1181.25 318937
190 253 48070 1187.5 300437
191 223 42593 1193.75 266206
192 257 49344 1200 308400
193 238 45934 1206.25 287087
194 239 46366 1212.5 289787
195 227 44265 1218.75 276656
196 209 40964 1225 256025
197 210 41370 1231.25 258562
198 232 45936 1237.5 287100
199 189 37611 1243.75 235069
200 197 39400 1250 246250
201 187 37587 1256.25 234919
202 228 46056 1262.5 287850
203 163 33089 1268.75 206806
204 193 39372 1275 246075
205 167 34235 1281.25 213969
206 153 31518 1287.5 196987
207 165 34155 1293.75 213469
208 170 35360 1300 221000
209 144 30096 1306.25 188100
210 130 27300 1312.5 170625
211 130 27430 1318.75 171437
212 132 27984 1325 174900
213 142 30246 1331.25 189037
214 121 25894 1337.5 161837
215 130 27950 1343.75 174687
216 121 26136 1350 163350
217 123 26691 1356.25 166819
218 130 28340 1362.5 177125
219 126 27594 1368.75 172462
220 97 21340 1375 133375
221 115 25415 1381.25 158844
222 113 25086 1387.5 156787
223 111 24753 1393.75 154706
224 121 27104 1400 169400
225 91 20475 1406.25 127969
226 101 22826 1412.5 142662
227 110 24970 1418.75 156062
228 104 23712 1425 148200
229 97 22213 1431.25 138831
230 98 22540 1437.5 140875
231 81 18711 1443.75 116944
232 82 19024 1450 118900
233 69 16077 1456.25 100481
234 75 17550 1462.5 109687
235 58 13630 1468.75 85187.5
236 71 16756 1475 104725
237 71 16827 1481.25 105169
238 61 14518 1487.5 90737.5
239 51 12189 1493.75 76181.2
240 74 17760 1500 111000
241 78 18798 1506.25 117487
242 67 16214 1512.5 101337
243 70 17010 1518.75 106312
244 50 12200 1525 76250
245 62 15190 1531.25 94937.5
246 69 16974 1537.5 106087
247 66 16302 1543.75 101887
248 46 11408 1550 71300
249 42 10458 1556.25 65362.5
250 45 11250 1562.5 70312.5
251 41 10291 1568.75 64318.7
252 51 12852 1575 80325
253 50 12650 1581.25 79062.5
254 41 10414 1587.5 65087.5
255 42 10710 1593.75 66937.5
256 39 9984 1600 62400
257 30 7710 1606.25 48187.5
258 36 9288 1612.5 58050
259 42 10878 1618.75 67987.5
260 34 8840 1625 55250
261 29 7569 1631.25 47306.2
262 46 12052 1637.5 75325
263 36 9468 1643.75 59175
264 37 9768 1650 61050
265 29 7685 1656.25 48031.2
266 31 8246 1662.5 51537.5
267 32 8544 1668.75 53400
268 32 8576 1675 53600
269 26 6994 1681.25 43712.5
270 37 9990 1687.5 62437.5
271 32 8672 1693.75 54200
272 38 10336 1700 64600
273 24 6552 1706.25 40950
274 32 8768 1712.5 54800
275 23 6325 1718.75 39531.2
276 28 7728 1725 48300
277 29 8033 1731.25 50206.2
278 25 6950 1737.5 43437.5
279 17 4743 1743.75 29643.7
280 23 6440 1750 40250
281 22 6182 1756.25 38637.5
282 19 5358 1762.5 33487.5
283 22 6226 1768.75 38912.5
284 20 5680 1775 35500
285 28 7980 1781.25 49875
286 14 4004 1787.5 25025
287 25 7175 1793.75 44843.7
288 23 6624 1800 41400
289 18 5202 1806.25 32512.5
290 21 6090 1812.5 38062.5
291 14 4074 1818.75 25462.5
292 15 4380 1825 27375
293 18 5274 1831.25 32962.5
294 17 4998 1837.5 31237.5
295 15 4425 1843.75 27656.2
296 10 2960 1850 18500
297 12 3564 1856.25 22275
298 12 3576 1862.5 22350
299 13 3887 1868.75 24293.7
300 9 2700 1875 16875
301 16 4816 1881.25 30100
302 17 5134 1887.5 32087.5
303 15 4545 1893.75 28406.2
304 8 2432 1900 15200
305 4 1220 1906.25 7625
306 7 2142 1912.5 13387.5
307 14 4298 1918.75 26862.5
308 10 3080 1925 19250
309 12 3708 1931.25 23175
310 11 3410 1937.5 21312.5
311 10 3110 1943.75 19437.5
312 8 2496 1950 15600
