HISTOGRAM: ../bin/data/BrionUH_salida.xyz.csv
N_puntos: 48024480
N_nodos: 200557
N_nodos_hoja: 150411
MinRadius: 0.6 m
Area_minima: 1.44 m^2

OBSERVADO: 
N_medio_pts/nodo: 319
__min: 0
__max: 1942
Densidad_media: 221.728
__min: 0
__max: 1348.61

ESTIMADO: 
N_medio_pts/nodo: 175.84
Densidad_media: 122.111

x_i n_i x_i*n_i rho_i rho_i*n_i
185 290 53650 128.472 37256.9
186 270 50220 129.167 34875
187 297 55539 129.861 38568.7
188 311 58468 130.556 40602.8
189 304 57456 131.25 39900
190 301 57190 131.944 39715.3
191 353 67423 132.639 46821.5
192 285 54720 133.333 38000
193 332 64076 134.028 44497.2
194 285 55290 134.722 38395.8
195 305 59475 135.417 41302.1
196 372 72912 136.111 50633.3
197 320 63040 136.806 43777.8
198 303 59994 137.5 41662.5
199 319 63481 138.194 44084
200 326 65200 138.889 45277.8
201 312 62712 139.583 43550
202 338 68276 140.278 47413.9
203 320 64960 140.972 45111.1
204 328 66912 141.667 46466.7
205 290 59450 142.361 41284.7
206 320 65920 143.056 45777.8
207 310 64170 143.75 44562.5
208 306 63648 144.444 44200
209 319 66671 145.139 46299.3
210 354 74340 145.833 51625
211 323 68153 146.528 47328.5
212 326 69112 147.222 47994.4
213 338 71994 147.917 49995.8
214 312 66768 148.611 46366.7
215 335 72025 149.306 50017.4
216 330 71280 150 49500
217 374 81158 150.694 56359.7
218 330 71940 151.389 49958.3
219 352 77088 152.083 53533.3
220 321 70620 152.778 49041.7
221 367 81107 153.472 56324.3
222 342 75924 154.167 52725
223 343 76489 154.861 53117.4
224 359 80416 155.556 55844.4
225 347 78075 156.25 54218.7
226 307 69382 156.944 48181.9
227 360 81720 157.639 56750
228 347 79116 158.333 54941.7
229 369 84501 159.028 58681.2
230 379 87170 159.722 60534.7
231 337 77847 160.417 54060.4
232 368 85376 161.111 59288.9
233 368 85744 161.806 59544.4
234 350 81900 162.5 56875
235 359 84365 163.194 58586.8
236 368 86848 163.889 60311.1
237 402 95274 164.583 66162.5
238 347 82586 165.278 57351.4
239 373 89147 165.972 61907.6
240 309 74160 166.667 51500
241 367 88447 167.361 61421.5
242 370 89540 168.056 62180.6
243 346 84078 168.75 58387.5
244 347 84668 169.444 58797.2
245 360 88200 170.139 61250
246 358 88068 170.833 61158.3
247 331 81757 171.528 56775.7
248 339 84072 172.222 58383.3
